번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
26,공중화장실,,방수설비잔디광장 화장실,,서울특별시 금천구 시흥동 412-5,1,2,0,0,0,0,3,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-03,37.4469615,126.911422,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
27,공중화장실,,호암늘솔길 화장실,,서울특별시 금천구 시흥동 산93-1,1,3,0,0,0,0,1,1,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-02,37.4503384,126.9248812,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
28,공중화장실,,흥산배드민턴장 화장실,,서울특별시 금천구 시흥동 산73-1,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-04,37.4427282,126.9115082,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
29,공중화장실,,독산테니스장 화장실,,서울특별시 금천구 독산동 산89-7,1,1,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-06,37.4737275,126.9064937,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
30,공중화장실,,치유의숲 화장실,,서울특별시 금천구 시흥동 산100-1,1,0,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-03,37.45310959,126.9216372,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
31,공중화장실,,금천종합복지타운,서울특별시 금천구 금하로 764,,2,3,1,0,0,0,6,1,0,서울특별시 금천구 시설관리공단,02-2104-5213,,24시간,2020-04,37.449608,126.9146113,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,N,없음,,2020-07-31
32,공중화장실,,시흥4동청소년독서실,서울특별시 금천구 독산로32길 16,,1,2,1,0,0,0,1,0,0,서울특별시 금천구 시설관리공단,02-894-6688,,09:00~23:00,2020-02,37.4573459,126.9064282,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,N,없음,,2020-07-31
33,공중화장실,,금천문화원(1층),서울특별시 금천구 시흥대로 38길 61,,2,2,1,0,0,0,4,1,0,서울특별시 금천구 시설관리공단,02-896-8552,,09:00~18:00,2020-03,37.446397,126.9044442,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
34,공중화장실,,문화체육센터(1층),서울특별시 금천구 독산로 54길 188,,2,1,1,1,0,0,3,0,0,서울특별시 금천구 시설관리공단,02-861-1313,,정시(06:00~22:00),2020-01,37.4700707,126.9073397,공공기관-지방자치단체,수세식,,Y,남자화장실,N,N,없음,,2020-07-31
35,공중화장실,,가산동공영주차장,,서울특별시 금천구 가산동 148-28,1,1,0,0,1,0,1,0,0,서울특별시 금천구 시설관리공단,02-809-8573,,24시간,2020-03,37.4766272,126.8955605,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
36,공중화장실,,독산1동 공영주차장(남녀공통),,서울특별시 금천구 독산동 1006-94,1,1,0,0,0,0,0,0,0,서울특별시 금천구 시설관리공단,02-808-5115,,24시간,2020-02,37.46494248,126.894817,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
37,공중화장실,,독산3동 공영주차장,,서울특별시 금천구 독산동 898-24,1,1,0,0,0,0,1,0,0,서울특별시 금천구 시설관리공단,02-809-8573,,24시간,2020-01,37.4794495,126.9063345,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
38,공중화장실,,독산4동 공영주차장,,서울특별시 금천구 독산동 187-40,1,1,0,0,0,0,1,0,0,서울특별시 금천구 시설관리공단,02-809-8573,,24시간,2020-03,37.46943053,126.9045053,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
39,공중화장실,,다목적 공영주차장,,서울특별시 금천구 독산동 971,1,2,0,0,0,0,2,0,0,서울특별시 금천구 시설관리공단,02-865-7557,,24시간,2020-02,37.4763121,126.9018749,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
40,공중화장실,,구룡 공영주차장(남녀공통),,서울특별시 금천구 독산동 964,1,1,0,0,0,0,0,0,0,서울특별시 금천구 시설관리공단,02-830-2323,,24시간,1996-04,37.4778365,126.9027254,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
41,공중화장실,,시흥3동 공영주차장(남녀공통),,서울특별시 금천구 시흥동 942-6,1,1,0,0,0,0,0,0,0,서울특별시 금천구 시설관리공단,02-808-5995,,24시간,2020-03,37.44292731,126.9057231,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
42,공중화장실,,삼성 공영주차장,,서울특별시 금천구 시흥동 171-4,1,1,0,0,0,0,1,0,0,서울특별시 금천구 시설관리공단,02-809-8573,,24시간,2020-03,37.4547522,126.9092001,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
43,공중화장실,,효봉 공영주차장(남녀공통),,서울특별시 금천구 시흥동 3-129,1,1,0,0,0,0,0,0,0,서울특별시 금천구 시설관리공단,02-809-8573,,24시간,2020-02,37.4607323,126.9109466,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
44,공중화장실,,시흥4동 공영주차장,,서울특별시 금천구 시흥동 704-56,2,2,1,0,0,0,3,0,0,서울특별시 금천구 시설관리공단,02-809-8573,,24시간,2020-02,37.45934662,126.9093513,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
45,공중화장실,,견인보관소,서울특별시 금천구 가산디지털2로 169-34 (가산동),서울특별시 금천구 가산동 614-34,1,1,0,0,0,0,1,0,0,서울특별시 금천구 시설관리공단,02-854-5273,,24시간,2020-03,37.48330365,126.87608161,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
46,공중화장실,,공단본부,서울특별시 금천구 시흥대로37길 18,,2,2,0,0,0,0,2,0,0,서울특별시 금천구 시설관리공단,02-809-0061,,09:00~18:00,2020-02,37.44588737,126.9026365,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
47,공중화장실,,독산도서관(1층),서울특별시 금천구 독산로54길 114,,1,2,1,0,0,0,1,1,0,서울특별시 금천구청,02-863-9544,,정시(06:00~22:00),2020-03,37.46758091,126.9081069,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,N,없음,,2020-07-31
48,공중화장실,,가산도서관(1층),서울특별시 금천구 가산로5길 43,,0,1,1,0,0,0,0,1,0,서울특별시 금천구청,02-865-6817,,정시(06:00~22:00),2020-03,37.4734504,126.8921274,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,N,없음,,2020-07-31
49,공중화장실,,마을활력소 어울샘,서울특별시 금천구 탑골로22,,1,1,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1446,,월~금 10:00 ~ 19:00,2020-02,37.45180869,126.9116478,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
50,개방화장실,,가산동 주민센터,서울특별시 금천구 가산로 129,서울특별시 금천구 가산동 144-3,2,3,1,0,0,0,2,0,0,서울특별시 금천구 가산동주민센터,02-2627-2501,,09:00~18:00,2000-03,37.4768682,126.8917561,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
51,개방화장실,,독산1동 주민센터,서울특별시 금천구 시흥대로123길 11,서울특별시 금천구 독산동 289-5,3,3,1,0,0,0,3,0,0,서울특별시 금천구 독산1동 주민센터,02-2627-2503,,09:00~18:00,1998-05,37.47022076,126.8970301,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
52,개방화장실,,독산1동 분소,서울특별시 금천구 한내로 69-17,서울특별시 금천구 독산동 1088-3,1,1,0,0,0,0,1,0,0,서울특별시 금천구 독산1동주민센터,02-2627-2503,,09:00~18:00,1991-11,37.4579178,126.8877667,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
53,개방화장실,,독산2동 주민센터,"서울특별시 금천구 독산로 179, 독산2동주민센터 (독산동)",서울특별시 금천구 독산동 1043-51 독산2동주민센터,1,1,1,0,0,0,1,0,0,독산2동주민센터,02-2627-2505,,09:00~18:00,1985-12,37.46314740,126.90348246,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
54,개방화장실,,독산3동 주민센터,서울특별시 금천구 독산로 317,서울특별시 금천구 독산동 973-17,1,3,1,0,0,0,3,1,0,서울특별시 금천구 독산3동주민센터,02-2627-2507,,09:00~18:00,2020-01,37.475137,126.9031731,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
55,개방화장실,,독산4동 주민센터,서울특별시 금천구 독산로 232,서울특별시 금천구 독산동 1022,1,2,1,0,0,0,2,1,0,서울특별시 금천구 독산4동주민센터,02-2627-2509,,09:00~18:00,2020-05,37.46755452,126.9021351,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
56,개방화장실,,시흥1동 주민센터,서울특별시 금천구 시흥대로58길 36,서울특별시 금천구 시흥동 886-6,1,2,0,0,0,0,2,1,0,서울특별시 금천구 시흥1동주민센터,02-2627-2513,,09:00~18:00,2020-11,37.4535401,126.903248,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
57,개방화장실,,시흥2동 주민센터,서울특별시 금천구 금하로 764,서울특별시 금천구 시흥동 267-9,1,2,1,0,0,0,1,0,0,서울특별시 금천구 시흥2동주민센터,02-2627-2515,,09:00~18:00,2020-07,37.4496493,126.9146113,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
58,개방화장실,,시흥3동 주민센터,서울특별시 금천구 시흥대로18길 40,서울특별시 금천구 시흥동 956-3,1,1,0,0,0,0,1,0,0,서울특별시 금천구 시흥3동주민센터,02-2627-2517,,09:00~18:00,2020-11,37.4402328,126.9058029,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
59,개방화장실,,시흥4동 주민센터,서울특별시 금천구 독산로36길 14,서울특별시 금천구 시흥동 812-38,3,2,1,0,0,0,3,0,0,서울특별시 금천구 시흥4동주민센터,02-2627-2519,,09:00~18:00,2020-07,37.4589663,126.9061709,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
60,개방화장실,,시흥5동 주민센터,서울특별시 금천구 금하로21길 20,서울특별시 금천구 시흥동 832-14,1,4,1,0,0,0,2,0,0,서울특별시 금천구 시흥5동주민센터,02-2627-2521,,09:00~18:00,1988-02,37.4523731,126.9083063,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
61,개방화장실,,1호선 금천구청역,서울특별시 금천구 시흥대로63길 91,서울특별시 금천구 시흥동 113-55,3,3,0,1,0,0,4,1,0,한국철도공사,15447788,,24시간,1991-11,37.45553552,126.8943636,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
62,개방화장실,,1호선 독산역,서울특별시 금천구 벚꽃로 115,서울특별시 금천구 가산동 717,4,5,0,1,0,0,9,1,0,한국철도공사,15447788,,24시간,1997-12,37.46598642,126.8895163,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
63,개방화장실,,1호선 가산디지털단지역,서울특별시 금천구 벚꽃로 309,서울특별시 금천구 가산동 468-4,2,4,0,1,0,0,6,1,0,한국철도공사,02-2639-3332,,24시간,1974-08,37.48159601,126.8825604,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
64,개방화장실,,7호선가산디지털단지역,서울특별시 금천구 벚꽃로 309,서울특별시 금천구 가산동 468-4,3,5,0,1,0,0,8,1,0,한국철도공사,02-2639-3332,,24시간,1974-08,37.48159601,126.8825604,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
65,개방화장실,,가산우체국,서울특별시 금천구 남부순환로 1288,서울특별시 금천구 가산동 146-61,1,1,0,0,0,0,0,0,0,서울지방우정청,02-864-7143,,09:00~18:00,1981-07,37.47843871,126.8938122,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
66,개방화장실,,구로세관,서울특별시 금천구 가산디지털1로 67,서울특별시 금천구 가산동 319-25,2,2,1,0,0,0,2,0,0,관세청,02-2107-2500,,09:00~18:00,1984-12,37.47184219,126.8849044,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
67,개방화장실,,가산문화센터,서울특별시 금천구 가산디지털1로 118,서울특별시 금천구 가산동 345-58,3,3,0,0,0,0,3,0,0,서울특별시청,02-868-5208,,09:00~21:00,1977-12,37.4761293,126.8837128,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
68,개방화장실,,금천세무서,서울특별시 금천구 시흥대로152길 11-21,서울특별시 금천구 독산동 953-9,2,3,1,0,0,0,2,1,0,국세청,02-850-4200,,09:00~18:00,1985-07,37.47801866,126.8998003,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
69,개방화장실,,금천우체국,"서울특별시 금천구 시흥대로 410, 서울금천우체국 (독산동)",서울특별시 금천구 독산동 286-9 서울금천우체국,2,3,0,0,0,0,2,0,0,서울지방우정청,02-861-4403,,09:00~18:00,1991-05,37.47014572,126.89852494,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
70,개방화장실,,서울시흥동우체국,"서울특별시 금천구 독산로 123, 시흥본동우체국 (시흥동)",서울특별시 금천구 시흥동 852-55 시흥본동우체국,1,2,1,0,0,0,1,1,0,서울지방우정청,02-803-0004,,06:00~21:00,2020-12,37.45822583,126.90507093,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
71,개방화장실,,금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32,서울특별시 금천구 시흥동 558-1,2,3,1,0,0,0,3,0,0,서울특별시청,02-804-4058,,09:00~18:00,2000-06,37.4501451,126.8977626,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
72,개방화장실,,kt 금천전화국,서울특별시 금천구 시흥대로 139,서울특별시 금천구 시흥동 985-14,2,2,1,0,0,0,2,0,0,한국전기통신공사,080-258-1035,,09:00~18:00,1981-10,37.44644635,126.9030223,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
73,개방화장실,,남부여성발전센터,서울특별시 금천구 독산로50길 23,서울특별시 금천구 시흥동 산139-2,1,3,1,0,0,0,3,0,0,서울특별시청,02-802-0922,,09:00~22:00,1979-09,37.46355751,126.9064706,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-07-31
74,개방화장실,,동남주유소,서울특별시 금천구 범안로 1155,서울특별시 금천구 독산동 1001-5,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,06:00~23:00,1989-09,37.46688433,126.8900383,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
75,개방화장실,,㈜태영유업,서울특별시 금천구 시흥대로 484,서울특별시 금천구 독산동 967,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,24시간,1976-04,37.47682874,126.8991162,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
76,개방화장실,,KH에너지㈜직영 시흥대로 주유소,서울특별시 금천구 시흥대로 221,서울특별시 금천구 시흥동 993,1,2,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,24시간,1976-05,37.453442,126.9005383,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
77,개방화장실,,SK네트웍스㈜ 박미주유소,서울특별시 금천구 시흥대로 39-7,서울특별시 금천구 시흥동 980,1,2,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,24시간,1974-01,37.43720863,126.9024534,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
78,개방화장실,,일신주유소,서울특별시 금천구 시흥대로 118,서울특별시 금천구 시흥동 939-4,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,06:00~24:00,1976-05,37.4444904,126.904244,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
79,개방화장실,,SK네트웍스㈜ 순환도로주유소,서울특별시 금천구 남부순환로 1410,서울특별시 금천구 독산동 900-4,1,1,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1532,,07:00~23:00,1992-04,37.48020539,126.9075035,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
80,개방화장실,,백운주유소,서울특별시 금천구 시흥대로 282,서울특별시 금천구 독산동 1077-3,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,05:00~24:00,1992-06,37.4589133,126.8994053,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
81,개방화장실,,백산주유소,서울특별시 금천구 시흥대로 174,서울특별시 금천구 시흥동 904,1,2,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,06:00~23:00,1993-04,37.44971869,126.9029548,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
82,개방화장실,,주식회사 명보에너지,서울특별시 금천구 시흥대로 377,"서울특별시 금천구 독산동 292-7,12,29,39",2,1,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1532,,24시간,1994-03,37.4671502,126.897154,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
83,개방화장실,,SK네트웍스㈜ 이가주유소,서울특별시 금천구 시흥대로 441,서울특별시 금천구 독산동 150-6,2,2,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,24시간,1994-03,37.47315158,126.8978925,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
84,개방화장실,,동광석유㈜ 구광주유소,서울특별시 금천구 서부샛길 674,서울특별시 금천구 가산동 535-155,1,2,0,0,0,0,0,0,0,서울특별시 금천구청,02-2627-1532,,05:00~10:30,1986-07,37.48205329,126.875184,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
85,개방화장실,,경복에너지,서울특별시 금천구 독산로 147,서울특별시 금천구 시흥동 860-36,2,2,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1532,,05:00~23:00,1996-07,37.46050327,126.9044531,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
86,개방화장실,,대득에너지(금천셀프주유소),서울특별시 금천구 시흥대로 81,서울특별시 금천구 시흥동983-1외 2필지,1,1,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1532,,24시간,2020-02,37.44131058,126.9030992,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
87,개방화장실,,중앙에너비스㈜ 삼중가스지점,서울특별시 금천구 시흥대로 314,서울특별시 금천구 독산동 1059,2,2,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1532,,24시간,1982-03,37.46162991,126.8984161,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
88,개방화장실,,세한벤처월드,서울특별시 금천구 시흥대로 281,,3,4,0,0,0,0,3,0,0,서울특별시 금천구청,02-2627-1475,,24시간,1998-04,37.458507,126.8981453,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
89,개방화장실,,고려빌딩,서울특별시 금천구 시흥대로 421,,2,2,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1475,,24시간,1987-12,37.4711303,126.897743,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
